source,line,query_key,status
frontend_web/src/layouts/DashboardTopShell.tsx,403,pharmacy_id,Preserve existing link semantics
frontend_web/src/layouts/DashboardTopShell.tsx,404,pharmacy,Preserve existing link semantics
frontend_web/src/layouts/DashboardTopShell.tsx,405,pharmacyId,Preserve existing link semantics
frontend_web/src/pages/dashboard/organization/OrganizationOverviewPage.tsx,38,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/organization/OrganizationOverviewPage.tsx,38,pharmacy,Preserve existing link semantics
frontend_web/src/pages/dashboard/organization/OrganizationOverviewPage.tsx,38,pharmacyId,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/chat/ChatPage.tsx,518,startDmWithUser,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/chat/ChatPage.tsx,547,conversationId,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/chat/ChatPage.tsx,548,conversation_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/chat/ChatPage.tsx,549,roomId,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/hub/HubPage.tsx,70,post,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/hub/HubPage.tsx,81,post,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/hub/HubPage.tsx,92,scope,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/hub/HubPage.tsx,96,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/hub/HubPage.tsx,104,organization_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/hub/HubPage.tsx,111,group_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/hub/HubPage.tsx,125,platform_hub,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/OverviewPageStaff.tsx,58,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/OverviewPageStaff.tsx,58,pharmacy,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/OverviewPageStaff.tsx,58,pharmacyId,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/owner/OwnerBillingPage.tsx,80,mode,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/owner/OwnerOverviewContainer.tsx,131,view,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/owner/OwnerOverviewContainer.tsx,132,pharmacyId,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/owner/OwnerOverviewContainer.tsx,143,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/owner/OwnerOverviewContainer.tsx,144,pharmacy,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/owner/OwnerOverviewContainer.tsx,145,pharmacyId,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,198,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,231,date,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,232,pharmacy_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,348,date,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyCalendarPage.tsx,361,note_id,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyPage.tsx,1380,view,Preserve existing link semantics
frontend_web/src/pages/dashboard/sidebar/PharmacyPage.tsx,1381,pharmacyId,Preserve existing link semantics
